Pickhardt,50000, 2013-01-01,0.59,5,0.00001,0.001
Corley,200000, 2007-07-01,0.5,36,0.00001,0.001
Corley.bias,0, 2007-07-01,0.5,36,0.00001,0.001
Church,300000, 2000-01-01,0.5,3,0.00001,0.001
Lieberman,500000, 2005-07-01,0.529,8,0.00001,0.001
UKFSS.bysex,200000, 1997-01-01,0.49,8,0,0.001
SEER.all,5000000, 1977-07-01,0.5,20,0,0.0000001
